symptom_localname,symptom_zh,symptom_en,icd11_id,icd11_term,mapType
sx_脉缓,脉缓,Moderate pulse,XS0T,Moderate,close
sx_偏头痛,偏头痛,Migraine,SK01,Migraine disorder (TM2),close
sx_偏头痛,偏头痛,Migraine,SD10,Migraine disorder (TM1),close
sx_偏头痛,偏头痛,Migraine,8B22.9,Migraine-induced stroke,close
sx_耳流滋水,耳流滋水,serous fluid oozing from ear,XA2L90,Serous fluid,close
sx_脱发,脱发,Alopecia,ED70.21,Alopecia totalis,close
sx_脱发,脱发,Alopecia,SN90,Patchy alopecia disorder (TM2),close
sx_副睾硬结,副睾硬结,Epididymis induration,XA4D25,Epididymis,close
sx_副睾硬结,副睾硬结,Epididymis induration,SF5H,Liver and kidney yin deficiency pattern (TM1),close
sx_遇风流泪,遇风流泪,wind-induced tearing,SF54,Liver blood deficiency pattern (TM1),close
sx_甲房肿胀,甲房肿胀,Nail-bed swelling,XA6Q52,Nail,close
sx_肛门脱出物有蒂,肛门脱出物有蒂,pedunculated anal prolapse,DB53,Anal prolapse,close
sx_骨蒸发热,骨蒸发热,steaming-bone fever,1C33,Q fever,close
sx_阴毛脱落,阴毛脱落,loss of pubic hair,XA12U4,Pubic hair,close
sx_阴囊硬肿,阴囊硬肿,hard scrotal swelling,SK6G,Hard swelling of eyelid disorder (TM2),close
sx_指甲菲薄腐烂,指甲菲薄腐烂,thin fragile eroded nail,XA6Q52,Nail,close
sx_指甲菲薄腐烂,指甲菲薄腐烂,thin fragile eroded nail,LD55,Fragile X chromosome,close
sx_指甲菲薄腐烂,指甲菲薄腐烂,thin fragile eroded nail,LD47.4,Autosomal fragile site,close
sx_眦角生胬肉,眦角生胬肉,pterygium growing at the canthus,9A61.1,Pterygium,close
sx_阴囊皮肤顽厚,阴囊皮肤顽厚,thick stubborn scrotal skin,SF04,Blood dryness pattern (TM1),close
sx_舌青,舌青,Bluish tongue,DA03.1,Geographic tongue,close
sx_甲下胬肉突出,甲下胬肉突出,pterygium protruding under the nail,9A61.1,Pterygium,close
sx_睑不能闭,睑不能闭,inability to close the eyelid (lagophthalmos),XE8L2,Inability to irrigate,close
sx_月经推后,月经推后,delayed menstruation,SB81,Delayed menstruation disorder (TM1),close
sx_带下气腥,带下气腥,fishy vaginal discharge,MF3A,Vaginal discharge,close
sx_项强,项强,neck stiffness,ME85,Stiffness of joint,close
sx_包皮嵌顿,包皮嵌顿,Prepuce incarcerated,GB05.3,Paraphimosis,close
sx_指纹变细,指纹变细,thinned finger venules,SE75,Deficiency pattern (TM1),close
sx_带下绵绵不绝,带下绵绵不绝,endless continuous vaginal discharge,MF3A,Vaginal discharge,close
sx_桶状胸,桶状胸,Barrel-shaped chest,SF91,Kidney failing to receive qi pattern (TM1),close
sx_皮肤瘀点,皮肤瘀点,Skin petechia,SF01,Blood stasis pattern (TM1),close
sx_皮疹结厚痴,皮疹结厚痴,thick-crusted rash,ME66.6Z,"Rash, unspecified",close
sx_皮疹结厚痴,皮疹结厚痴,thick-crusted rash,ME66.6Y,Other specified rash,close
sx_皮疹中央凹陷,皮疹中央凹陷,Central rash depression/hollowing,XA6C41,Central cheek,close
sx_皮疹中央凹陷,皮疹中央凹陷,Central rash depression/hollowing,ME66.6Z,"Rash, unspecified",close
sx_巩膜斑点,巩膜斑点,scleral spots,XA1A48,Perioral region,close
sx_巩膜斑点,巩膜斑点,scleral spots,XA5MS8,Presternal region,close
sx_指甲色斑,指甲色斑,Macule nail,XA6Q52,Nail,close
sx_指甲色斑,指甲色斑,Macule nail,ED61.10,Penile melanotic macule,close
sx_指甲色斑,指甲色斑,Macule nail,ED61.11,Vulval melanotic macule,close
sx_产后恶风,产后恶风,Postpartum aversion to wind,XT4Z,Postpartum,close
